Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
La Vie En Rose,7.6,140,2007,"Biography, Drama, Music"
Huo Yuan Jia,7.6,104,2006,"Action, Biography, Drama"
The Illusionist,7.6,110,2006,"Drama, Fantasy, Mystery"
Dead Man's Shoes,7.6,90,2004,"Crime, Drama, Thriller"
Harry Potter and the Half-Blood Prince,7.6,153,2009,"Action, Adventure, Family"
300,7.6,117,2006,"Action, Drama"
Match Point,7.6,124,2005,"Drama, Romance, Thriller"
Watchmen,7.6,162,2009,"Action, Drama, Mystery"
Lord of War,7.6,122,2005,"Action, Crime, Drama"
Saw,7.6,103,2004,"Horror, Mystery, Thriller"
"Synecdoche, New York",7.6,124,2008,Drama
Mysterious Skin,7.6,105,2004,Drama
Jeux d'enfants,7.6,93,2003,"Comedy, Drama, Romance"
Un long dimanche de fiançailles,7.6,133,2004,"Drama, Mystery, Romance"
The Station Agent,7.6,89,2003,"Comedy, Drama"
21 Grams,7.6,124,2003,"Crime, Drama, Thriller"
Boksuneun naui geot,7.6,129,2002,"Crime, Drama, Thriller"
Finding Neverland,7.6,106,2004,"Biography, Drama, Family"
25th Hour,7.6,135,2002,Drama
The Butterfly Effect,7.6,113,2004,"Drama, Sci-Fi, Thriller"
28 Days Later...,7.6,113,2002,"Drama, Horror, Sci-Fi"
Batoru rowaiaru,7.6,114,2000,"Action, Adventure, Drama"
The Royal Tenenbaums,7.6,110,2001,"Comedy, Drama"
Y tu mamá también,7.6,106,2001,Drama
Harry Potter and the Sorcerer's Stone,7.6,152,2001,"Adventure, Family, Fantasy"
The Others,7.6,101,2001,"Horror, Mystery, Thriller"
Blow,7.6,124,2001,"Biography, Crime, Drama"
Enemy at the Gates,7.6,131,2001,"Drama, History, War"
Minority Report,7.6,145,2002,"Action, Crime, Mystery"
The Hurricane,7.6,146,1999,"Biography, Drama, Sport"
American Psycho,7.6,101,2000,"Comedy, Crime, Drama"
Lola rennt,7.6,81,1998,"Crime, Drama, Thriller"
The Thin Red Line,7.6,170,1998,"Drama, War"
Mulan,7.6,88,1998,"Animation, Adventure, Family"
Fear and Loathing in Las Vegas,7.6,118,1998,"Adventure, Comedy, Drama"
Funny Games,7.6,108,1997,"Crime, Drama, Thriller"
Dark City,7.6,100,1998,"Mystery, Sci-Fi, Thriller"
Sleepers,7.6,147,1996,"Crime, Drama, Thriller"
Lost Highway,7.6,134,1997,"Mystery, Thriller"
Sense and Sensibility,7.6,136,1995,"Drama, Romance"
Die Hard: With a Vengeance,7.6,128,1995,"Action, Adventure, Thriller"
Dead Man,7.6,121,1995,"Adventure, Drama, Fantasy"
The Bridges of Madison County,7.6,135,1995,"Drama, Romance"
Apollo 13,7.6,140,PG,"Adventure, Drama, History"
Trois couleurs: Blanc,7.6,92,1994,"Comedy, Drama, Romance"
Falling Down,7.6,113,1993,"Action, Crime, Drama"
Dazed and Confused,7.6,102,1993,Comedy
My Cousin Vinny,7.6,120,1992,"Comedy, Crime"
Omohide poro poro,7.6,118,1991,"Animation, Drama, Romance"
Delicatessen,7.6,99,1991,"Comedy, Crime"
Home Alone,7.6,103,1990,"Comedy, Family"
The Godfather: Part III,7.6,162,1990,"Crime, Drama"
When Harry Met Sally...,7.6,95,1989,"Comedy, Drama, Romance"
The Little Mermaid,7.6,83,1989,"Animation, Family, Fantasy"
The Naked Gun: From the Files of Police Squad!,7.6,85,1988,"Comedy, Crime"
"Planes, Trains & Automobiles",7.6,93,1987,"Comedy, Drama"
Lethal Weapon,7.6,109,1987,"Action, Crime, Thriller"
Blood Simple,7.6,99,1984,"Crime, Drama, Thriller"
On Golden Pond,7.6,109,1981,Drama
Mad Max 2,7.6,96,1981,"Action, Adventure, Sci-Fi"
The Warriors,7.6,92,1979,"Action, Crime, Thriller"
The Muppet Movie,7.6,95,1979,"Adventure, Comedy, Family"
Escape from Alcatraz,7.6,112,1979,"Action, Biography, Crime"
Watership Down,7.6,91,1978,"Animation, Adventure, Drama"
Midnight Express,7.6,121,1978,"Biography, Crime, Drama"
Close Encounters of the Third Kind,7.6,138,1977,"Drama, Sci-Fi"
The Long Goodbye,7.6,112,1973,"Comedy, Crime, Drama"
Giù la testa,7.6,157,1971,"Drama, War, Western"
Kelly's Heroes,7.6,144,1970,"Adventure, Comedy, War"
The Jungle Book,7.6,78,1967,"Animation, Adventure, Family"
Blowup,7.6,111,1966,"Drama, Mystery, Thriller"
A Hard Day's Night,7.6,87,1964,"Comedy, Music, Musical"
Breakfast at Tiffany's,7.6,115,1961,"Comedy, Drama, Romance"
Giant,7.6,201,1956,"Drama, Western"
From Here to Eternity,7.6,118,1953,"Drama, Romance, War"
Lifeboat,7.6,97,1944,"Drama, War"
The 39 Steps,7.6,86,1935,"Crime, Mystery, Thriller"
