Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
La haine,8.1,98,1995,"Crime, Drama"
Dilwale Dulhania Le Jayenge,8.1,189,1995,"Drama, Romance"
Before Sunrise,8.1,101,1995,"Drama, Romance"
Trois couleurs: Rouge,8.1,99,1994,"Drama, Mystery, Romance"
Chung Hing sam lam,8.1,102,1994,"Comedy, Crime, Drama"
Jurassic Park,8.1,127,1993,"Action, Adventure, Sci-Fi"
In the Name of the Father,8.1,133,1993,"Biography, Crime, Drama"
Ba wang bie ji,8.1,171,1993,"Drama, Music, Romance"
Dà hóng denglong gaogao guà,8.1,125,1991,"Drama, History, Romance"
Dead Poets Society,8.1,128,1989,"Comedy, Drama"
Stand by Me,8.1,89,1986,"Adventure, Drama"
Platoon,8.1,120,1986,"Drama, War"
"Paris, Texas",8.1,145,1984,Drama
Kaze no tani no Naushika,8.1,117,1984,"Animation, Adventure, Fantasy"
The Thing,8.1,109,1982,"Horror, Mystery, Sci-Fi"
Pink Floyd: The Wall,8.1,95,1982,"Drama, Fantasy, Music"
Fitzcarraldo,8.1,158,1982,"Adventure, Drama"
Fanny och Alexander,8.1,188,1982,Drama
Blade Runner,8.1,117,1982,"Action, Sci-Fi, Thriller"
The Elephant Man,8.1,124,1980,"Biography, Drama"
Life of Brian,8.1,94,1979,Comedy
The Deer Hunter,8.1,183,1978,"Drama, War"
Rocky,8.1,120,1976,"Drama, Sport"
Network,8.1,121,1976,Drama
Barry Lyndon,8.1,185,1975,"Adventure, Drama, History"
Zerkalo,8.1,107,1975,"Biography, Drama"
Chinatown,8.1,130,1974,"Drama, Mystery, Thriller"
Paper Moon,8.1,102,1973,"Comedy, Crime, Drama"
Viskningar och rop,8.1,91,1972,Drama
Solaris,8.1,167,1972,"Drama, Mystery, Sci-Fi"
Le samouraï,8.1,105,1967,"Crime, Drama, Mystery"
Cool Hand Luke,8.1,127,1967,"Crime, Drama"
Persona,8.1,85,1966,"Drama, Thriller"
Andrei Rublev,8.1,205,1966,"Biography, Drama, History"
La battaglia di Algeri,8.1,121,1966,"Drama, War"
El ángel exterminador,8.1,95,1962,"Drama, Fantasy"
What Ever Happened to Baby Jane?,8.1,134,1962,"Drama, Horror, Thriller"
Sanjuro,8.1,96,1962,"Action, Comedy, Crime"
The Man Who Shot Liberty Valance,8.1,123,1962,"Drama, Western"
Ivanovo detstvo,8.1,95,1962,"Drama, War"
Jungfrukällan,8.1,89,1960,Drama
Inherit the Wind,8.1,128,1960,"Biography, Drama, History"
Les quatre cents coups,8.1,99,1959,"Crime, Drama"
Ben-Hur,8.1,212,1959,"Adventure, Drama, History"
Kakushi-toride no san-akunin,8.1,139,1958,"Adventure, Drama"
Le notti di Cabiria,8.1,110,1957,Drama
Kumonosu-jô,8.1,110,1957,"Drama, History"
